t,flow,rainfall
451,8443.287354,0.1
452,8475.115723,0
453,8437.499756,0.1
454,8478.009033,0.1
455,8524.30542,0.1
456,8284.143311,0
457,8625.578369,0
458,8718.171387,0
459,8755.787109,0
460,8663.19458,0.4
461,8547.453613,0.4
462,8590.856689,0
463,8437.5,0
464,8428.819336,0
465,8365.162109,0
466,8307.291992,0
467,8379.630127,0
468,8408.564697,0
469,8318.865723,0
470,8417.245361,0
471,8431.712891,0
472,8275.463135,0
473,8249.421631,0
474,8408.564697,0
475,8249.421631,0
476,8260.995117,0
477,8194.44458,0
478,8255.208252,0
479,8255.208252,0
480,8263.88916,0
481,8307.29126,0
482,8110.531982,0
483,8191.55127,0
484,8090.277588,0
485,8614.004395,0
486,8133.68042,0
487,8055.555908,0
488,8379.629639,0
489,8501.157227,0
490,8460.648438,0
491,8449.074219,0
492,8553.240723,0
493,8396.990723,0
494,8284.143311,0
495,7980.323975,0
496,8188.657471,0
497,8333.33374,0
498,8278.356445,0
499,8136.573975,0
500,8156.828613,0
501,8061.342285,0
502,8333.333008,0
503,8263.888916,0
504,8602.43042,0
505,8625.578857,0
506,8680.555664,0
507,8570.601807,0
508,8541.666748,0
509,8373.842773,0
510,8414.351807,0
511,8336.226563,0.7
512,8359.375244,0.4
513,8313.079102,0.2
514,8376.736084,0
515,8405.670898,0
516,8275.462891,0
517,8336.226807,0
518,8333.333008,0
519,8339.120361,0
520,8440.393799,0
521,8321.759521,0
522,8315.972412,0
523,8339.120361,0
524,8191.550781,0
525,8148.148193,0
526,8206.018555,0
527,8263.888916,0
528,8087.384033,0
529,8608.217773,0
530,8399.884033,0
531,8336.226807,0
532,8388.309814,0
533,7951.38916,0
534,7806.712891,0
535,8260.995117,0
536,8810.76416,0
537,8755.787109,0
538,8718.171631,0.1
539,8845.48584,0
540,8804.977051,0
541,8770.254395,0
542,8741.31958,0
543,8816.551025,0
544,8764.467773,0
545,8683.448975,0
546,8778.935059,0
547,8634.259033,0
548,8784.722168,0
549,8764.467773,0
550,8645.833496,0
551,8709.490479,0
